document_type,intent,bullet_points
blog post,Myth Debunking: Challenge common misconceptions by providing factual information and emphasizing the importance of learning.,"{""Question 1"": ""What are the most common misconceptions related to the topic you want to debunk?"", ""Question 2"": ""What factual information and evidence can you provide to counter these misconceptions?"", ""Question 3"": ""Who is your target audience, and what level of prior knowledge do they have about the topic?"", ""Question 4"": ""Why is it important for your audience to understand the truth behind these misconceptions?"", ""Question 5"": ""How can you structure your blog post to clearly present the myth and then debunk it with facts?"", ""Question 6"": ""What sources or references will you use to support your factual information?"", ""Question 7"": ""How can you engage your readers and keep them interested while presenting factual information?"", ""Question 8"": ""What tone and style will be most effective in communicating with your audience?"", ""Question 9"": ""How can you emphasize the importance of learning and critical thinking in your blog post?"", ""Question 10"": ""What call-to-action or concluding message do you want to leave your readers with?""}"
email,"Job Application: Write a cover letter expressing interest in a position, highlighting relevant skills and experiences.","{""Question 1"": ""What is the specific job title and company you are applying to, and how did you learn about this opportunity?"", ""Question 2"": ""What are the key qualifications and skills listed in the job description, and how do your experiences align with them?"", ""Question 3"": ""What specific achievements or projects from your past work experience demonstrate your suitability for this role?"", ""Question 4"": ""How can you effectively introduce yourself and express your enthusiasm for the position in the opening paragraph?"", ""Question 5"": ""What are the core values and mission of the company, and how do they resonate with your professional goals and values?"", ""Question 6"": ""How can you highlight your most relevant skills and experiences in a way that addresses the employer's needs and expectations?"", ""Question 7"": ""What specific examples can you provide to illustrate your problem-solving abilities and how they have benefited previous employers?"", ""Question 8"": ""How can you convey your understanding of the company's industry and the challenges it faces, and how can you contribute to overcoming them?"", ""Question 9"": ""What is the best way to conclude your cover letter, ensuring you leave a strong impression and encourage the employer to contact you for an interview?"", ""Question 10"": ""How can you tailor your tone and language to match the company's culture and the professional nature of the job application?""}"
email,Follow-Up After Meeting: Summarize key points from a recent meeting and outline next steps.,"{""Question 1"": ""What were the main topics discussed during the meeting?"", ""Question 2"": ""Who were the key participants in the meeting, and what roles did they play?"", ""Question 3"": ""What were the most important decisions made during the meeting?"", ""Question 4"": ""What action items were assigned, and who is responsible for each one?"", ""Question 5"": ""What are the deadlines or timelines for the next steps discussed in the meeting?"", ""Question 6"": ""Were there any unresolved issues or questions that need further attention?"", ""Question 7"": ""How can you clearly summarize the meeting's outcomes for the recipients of the email?"", ""Question 8"": ""What specific information does each recipient need to know to proceed with their tasks?"", ""Question 9"": ""How can you ensure that the tone of the email is professional and concise?"", ""Question 10"": ""What follow-up actions or meetings need to be scheduled, and how should they be communicated in the email?""}"
blog post,"Company Culture Insights: Share experiences and insights about company culture, internal events, and team dynamics.","{""Question 1"": ""What are the core values and principles that define our company culture?"", ""Question 2"": ""Can you share a specific story or example that highlights a positive aspect of our company culture?"", ""Question 3"": ""How do internal events and team-building activities contribute to our company culture?"", ""Question 4"": ""What are some unique traditions or rituals that our team participates in?"", ""Question 5"": ""How does our company support and encourage professional growth and development?"", ""Question 6"": ""What role does leadership play in shaping and maintaining our company culture?"", ""Question 7"": ""How do we ensure inclusivity and diversity within our team dynamics?"", ""Question 8"": ""What feedback have employees given about their experiences with our company culture?"", ""Question 9"": ""How does our company culture impact employee satisfaction and retention?"", ""Question 10"": ""What future initiatives or changes are planned to enhance our company culture?""}"
email,"Networking Outreach: Write an email to a professional in your field for an interview, mentorship, or collaboration opportunity.","{""Question 1"": ""What is the primary goal of your email (e.g., interview, mentorship, collaboration)?"", ""Question 2"": ""How can you introduce yourself in a way that highlights your relevant background and interests?"", ""Question 3"": ""What specific aspects of the professional's work or career inspire you or align with your goals?"", ""Question 4"": ""What value or benefit can you offer to the professional in exchange for their time and assistance?"", ""Question 5"": ""How can you clearly and concisely state your request or proposal in the email?"", ""Question 6"": ""What information about your current projects or experiences can you share to establish credibility?"", ""Question 7"": ""How can you personalize the email to show that you have done your research on the professional?"", ""Question 8"": ""What is the best way to express your appreciation for the professional's time and consideration?"", ""Question 9"": ""How can you provide your contact information and suggest a follow-up method or time frame?"", ""Question 10"": ""What tone and level of formality are appropriate for this email, considering the professional's position and industry norms?""}"
blog post,"Sports Analysis: Offer detailed commentary and insights on sports events, player performances, and game outcomes.","{""Question 1"": ""What recent sports event or game will be the focus of your analysis?"", ""Question 2"": ""Who are the key players or teams involved in this event, and what are their recent performances?"", ""Question 3"": ""What specific aspects of the game or event will you analyze (e.g., strategies, key moments, player statistics)?"", ""Question 4"": ""What insights or unique perspectives can you offer that differentiate your analysis from others?"", ""Question 5"": ""Who is your target audience, and what level of sports knowledge do they possess?"", ""Question 6"": ""What background information or context is necessary for your audience to understand your analysis?"", ""Question 7"": ""How will you structure your blog post to ensure a logical flow of information and maintain reader engagement?"", ""Question 8"": ""What sources or data will you use to support your commentary and insights?"", ""Question 9"": ""What potential counterarguments or alternative viewpoints should you address in your analysis?"", ""Question 10"": ""What is the main takeaway or conclusion you want your readers to have after reading your blog post?""}"
blog post,Home Improvement: Provide tips and strategies for maintaining and organizing the home to enhance quality of life.,"{""Question 1"": ""What are the main areas of the home that require regular maintenance and organization?"", ""Question 2"": ""What specific tips and strategies can you provide for maintaining a clean and organized kitchen?"", ""Question 3"": ""How can homeowners create a practical and efficient cleaning schedule?"", ""Question 4"": ""What are some common challenges people face when trying to keep their homes organized, and how can they overcome them?"", ""Question 5"": ""What are the benefits of maintaining an organized home in terms of mental and physical well-being?"", ""Question 6"": ""How can homeowners effectively declutter their living spaces without feeling overwhelmed?"", ""Question 7"": ""What are some budget-friendly tips for organizing different areas of the home?"", ""Question 8"": ""How can technology and smart home devices assist in home maintenance and organization?"", ""Question 9"": ""What are some seasonal maintenance tasks that homeowners should be aware of?"", ""Question 10"": ""How can readers involve their family members in maintaining and organizing the home to ensure it is a shared responsibility?""}"
email,"Organizational Announcement: Compose an internal email announcing important updates within the organization, such as policy changes, new initiatives, or significant company news.","{""Question 1"": ""What is the main purpose of this organizational announcement email?"", ""Question 2"": ""Who is the primary audience for this email, and how might they be affected by the updates?"", ""Question 3"": ""What are the key updates or changes that need to be communicated in this email?"", ""Question 4"": ""How can you clearly and concisely explain the reasons behind these updates or changes?"", ""Question 5"": ""What specific details or examples can you provide to help the audience understand the impact of these updates?"", ""Question 6"": ""Are there any actions that the recipients need to take in response to this announcement? If so, what are they?"", ""Question 7"": ""How can you address potential questions or concerns that the audience might have about these updates?"", ""Question 8"": ""What tone and language should you use to ensure the message is professional yet approachable?"", ""Question 9"": ""How can you structure the email to ensure the most important information is easily accessible and understood?"", ""Question 10"": ""What follow-up information or resources can you provide to support the recipients after they read the email?""}"
blog post,"Industry Insights: Provide strategies, advice, and analyses tailored to specific industries or professions.","{""Question 1"": ""What specific industry or profession will this blog post focus on, and why is it relevant to your audience?"", ""Question 2"": ""What are the current trends or challenges in this industry that your audience should be aware of?"", ""Question 3"": ""What strategies or advice can you offer that are tailored to the unique needs of this industry or profession?"", ""Question 4"": ""Who is your target audience within this industry, and what are their primary concerns or interests?"", ""Question 5"": ""What key insights or analyses can you provide that will add value and demonstrate your expertise in this field?"", ""Question 6"": ""How can you structure your blog post to ensure it is engaging and easy to follow for your readers?"", ""Question 7"": ""What real-world examples or case studies can you include to illustrate your points and make your advice more tangible?"", ""Question 8"": ""What are the potential benefits or outcomes for your audience if they implement the strategies or advice you provide?"", ""Question 9"": ""How can you address potential objections or counterarguments that your audience might have regarding your insights or advice?"", ""Question 10"": ""What actionable steps or takeaways can you offer to help your readers apply the information from your blog post to their own professional contexts?""}"
creative writing,Time Travel Story: Write a story where a character travels between two time periods and their actions in one time affect the other.,"{""Question 1"": ""What are the two time periods your character will travel between, and how do they differ in terms of setting, culture, and technology?"", ""Question 2"": ""Who is your main character, and what motivates them to travel through time?"", ""Question 3"": ""What specific event or action in the past will significantly impact the future, and how will this change manifest?"", ""Question 4"": ""How does your character discover the ability to time travel, and what are the rules or limitations of this time travel mechanism?"", ""Question 5"": ""What conflicts or challenges does your character face in each time period, and how do these conflicts drive the plot forward?"", ""Question 6"": ""How do the secondary characters in each time period influence your main character's journey and decisions?"", ""Question 7"": ""What themes do you want to explore in your time travel story, such as fate, free will, or the consequences of tampering with time?"", ""Question 8"": ""How will you structure your narrative to clearly convey the shifts between time periods and the cause-and-effect relationship between events?"", ""Question 9"": ""What is the climax of your story, and how does the resolution of the time travel conflict affect both time periods?"", ""Question 10"": ""Who is your target audience, and how will you ensure that your story appeals to their interests and expectations regarding time travel fiction?""}"
blog post,"Investment Advice: Explain and analyze investment methods or strategies, highlighting their benefits and potential risks.","{""Question 1"": ""What is the primary investment method or strategy you want to focus on in this blog post?"", ""Question 2"": ""Who is your target audience, and what is their level of knowledge about investments?"", ""Question 3"": ""What are the key benefits of the investment method or strategy you are discussing?"", ""Question 4"": ""What are the potential risks associated with this investment method or strategy?"", ""Question 5"": ""How can you explain complex investment concepts in a way that is accessible to your audience?"", ""Question 6"": ""What real-life examples or case studies can you include to illustrate the effectiveness of this investment method or strategy?"", ""Question 7"": ""What common misconceptions or myths about this investment method or strategy should you address?"", ""Question 8"": ""How can you structure your blog post to keep readers engaged and ensure they understand the key points?"", ""Question 9"": ""What actionable advice or steps can you provide to readers who are interested in trying this investment method or strategy?"", ""Question 10"": ""How can you conclude your blog post in a way that reinforces the main takeaways and encourages further exploration or action?""}"
blog post,Behavioral Insights: Explore behavioral tendencies and offer advice on adopting positive behaviors for personal and professional success.,"{""Question 1"": ""What specific behavioral tendencies do you want to explore in this blog post?"", ""Question 2"": ""Who is your target audience, and what are their common challenges related to behavior change?"", ""Question 3"": ""What key insights or research findings can you include to support your discussion on behavioral tendencies?"", ""Question 4"": ""How can you structure your blog post to effectively introduce, explain, and provide advice on adopting positive behaviors?"", ""Question 5"": ""What real-life examples or case studies can you incorporate to illustrate the impact of positive behavioral changes?"", ""Question 6"": ""What actionable advice or strategies can you offer readers to help them implement positive behaviors in their personal and professional lives?"", ""Question 7"": ""How can you engage your readers and encourage them to reflect on their own behaviors and potential for change?"", ""Question 8"": ""What tone and style will best resonate with your audience and make the content relatable and motivating?"", ""Question 9"": ""How can you conclude your blog post in a way that reinforces the key messages and inspires readers to take action?"", ""Question 10"": ""What additional resources or further reading can you suggest to readers who want to delve deeper into the topic of behavioral insights and positive change?""}"
blog post,"Career Advice: Offer guidance on navigating career challenges, such as job hunting or professional growth.","{""Question 1"": ""What specific career challenge or aspect of professional growth will this blog post address?"", ""Question 2"": ""Who is the primary audience for this blog post, and what are their main concerns or interests regarding career development?"", ""Question 3"": ""What personal experiences or anecdotes can you share to illustrate the career advice you are offering?"", ""Question 4"": ""What actionable steps or strategies can readers implement to overcome the career challenge discussed in the post?"", ""Question 5"": ""What common mistakes or pitfalls should readers avoid when navigating this particular career challenge?"", ""Question 6"": ""How can you structure the blog post to ensure it is engaging and easy to follow for your readers?"", ""Question 7"": ""What credible sources or references can you include to support the advice and tips provided in the blog post?"", ""Question 8"": ""What key takeaways or main points do you want readers to remember after reading the blog post?"", ""Question 9"": ""How can you address potential objections or counterarguments that readers might have about the advice given?"", ""Question 10"": ""What call-to-action can you include to encourage readers to apply the advice or share their own experiences in the comments?""}"
blog post,"Property Reviews: Discuss the features and benefits of real estate properties, including analyses of amenities and value.","{""Question 1"": ""What are the key features of the property that make it stand out from others in the market?"", ""Question 2"": ""How does the location of the property contribute to its overall value and appeal?"", ""Question 3"": ""What amenities are available within the property and in the surrounding area?"", ""Question 4"": ""Who is the target audience for this property, and what are their primary needs and preferences?"", ""Question 5"": ""What are the potential benefits of investing in this property, both short-term and long-term?"", ""Question 6"": ""How does the price of the property compare to similar properties in the area?"", ""Question 7"": ""What are the unique selling points of the property that should be highlighted to attract potential buyers or renters?"", ""Question 8"": ""What are the potential drawbacks or limitations of the property that should be transparently discussed?"", ""Question 9"": ""How can the property be customized or improved to better meet the needs of the target audience?"", ""Question 10"": ""What testimonials or reviews from current or past residents can be included to provide social proof and credibility?""}"
creative writing,Science Fiction: Write about future technology or space exploration and its impact on human experience.,"{""Question 1"": ""What is the central futuristic technology or space exploration concept that will drive your story?"", ""Question 2"": ""How does this technology or space exploration impact the daily lives of your characters?"", ""Question 3"": ""What are the societal, ethical, or moral dilemmas introduced by this technology or space exploration?"", ""Question 4"": ""Who are the main characters, and how are they uniquely affected by the futuristic elements of your story?"", ""Question 5"": ""What is the setting of your story, and how does it reflect the advancements in technology or space exploration?"", ""Question 6"": ""What conflicts arise as a result of the new technology or space exploration, and how do your characters navigate these conflicts?"", ""Question 7"": ""How does the future world you are creating differ from the present, and what elements remain the same?"", ""Question 8"": ""What themes do you want to explore through the impact of future technology or space exploration on human experience?"", ""Question 9"": ""Who is your target audience, and how can you make the futuristic elements relatable and engaging for them?"", ""Question 10"": ""What is the overall message or takeaway you want your readers to have after reading your story?""}"
blog post,"Future Trends Analysis: Explore emerging societal trends and technologies, analyzing their potential impacts and implications.","{""Question 1"": ""What are the key emerging societal trends and technologies that you want to explore in this blog post?"", ""Question 2"": ""How do these trends and technologies interconnect, and what are their potential combined impacts?"", ""Question 3"": ""Who is your target audience for this blog post, and what level of familiarity do they have with the subject matter?"", ""Question 4"": ""What are the most significant potential implications of these trends and technologies for different sectors (e.g., economy, healthcare, education)?"", ""Question 5"": ""What evidence or data can you provide to support your analysis of these future trends and technologies?"", ""Question 6"": ""How can you structure your blog post to effectively communicate the importance and relevance of these trends to your audience?"", ""Question 7"": ""What are the possible challenges or risks associated with these emerging trends and technologies, and how might they be mitigated?"", ""Question 8"": ""How do you envision these trends and technologies evolving over the next 5-10 years?"", ""Question 9"": ""What are some real-world examples or case studies that illustrate the potential impacts of these trends and technologies?"", ""Question 10"": ""What actionable insights or recommendations can you offer to your readers based on your analysis of these future trends and technologies?""}"
creative writing,"Comedy Story: Write a humorous story with coincidences, misunderstandings, or quirky situations.","{""Question 1"": ""What is the central premise or main idea of your comedy story?"", ""Question 2"": ""Who are the main characters, and what are their unique quirks or traits that can lead to humorous situations?"", ""Question 3"": ""What are some potential coincidences or misunderstandings that can drive the plot and create comedic moments?"", ""Question 4"": ""What is the setting of your story, and how can it contribute to the humor?"", ""Question 5"": ""What is the main conflict or problem that the characters will face, and how can it be resolved in a funny way?"", ""Question 6"": ""How will you use dialogue to enhance the humor and reveal character personalities?"", ""Question 7"": ""What are some specific scenes or scenarios that you envision being particularly funny?"", ""Question 8"": ""Who is your target audience, and what type of humor will resonate most with them?"", ""Question 9"": ""How will you balance the humor with a coherent plot to keep the story engaging?"", ""Question 10"": ""What are some potential themes or messages you want to convey through the humor in your story?""}"
blog post,Personal Development: Write about strategies for improving mental health and well-being based on personal experiences.,"{""Question 1"": ""What personal experiences have significantly impacted your mental health and well-being?"", ""Question 2"": ""What specific strategies have you found most effective in improving your mental health?"", ""Question 3"": ""How can you describe the challenges you faced before implementing these strategies?"", ""Question 4"": ""What changes did you notice in your mental health and well-being after adopting these strategies?"", ""Question 5"": ""Who is your target audience, and what are their likely struggles with mental health?"", ""Question 6"": ""How can you make your personal experiences relatable to your audience?"", ""Question 7"": ""What actionable advice can you offer to your readers based on your experiences?"", ""Question 8"": ""How can you structure your blog post to keep your audience engaged from start to finish?"", ""Question 9"": ""What resources or references can you include to support your strategies and experiences?"", ""Question 10"": ""How can you encourage your readers to share their own experiences and strategies for improving mental health?""}"
email,Apology Letter: Write a sincere letter apologizing to a friend or colleague for a misunderstanding or mistake.,"{""Question 1"": ""What specific misunderstanding or mistake are you apologizing for, and how did it occur?"", ""Question 2"": ""How did your actions or words affect your friend or colleague emotionally and/or professionally?"", ""Question 3"": ""What is the context or background of the situation that led to the misunderstanding or mistake?"", ""Question 4"": ""Why is it important for you to apologize to this person, and what do you hope to achieve with this apology?"", ""Question 5"": ""What specific words or phrases can you use to express your sincere regret and take responsibility for your actions?"", ""Question 6"": ""How can you acknowledge the feelings and perspective of your friend or colleague in your apology?"", ""Question 7"": ""What steps have you taken or will you take to rectify the situation or prevent it from happening again?"", ""Question 8"": ""How can you convey your commitment to improving your behavior or communication in the future?"", ""Question 9"": ""What tone and language should you use to ensure your apology comes across as genuine and heartfelt?"", ""Question 10"": ""How can you close the email in a way that leaves the door open for reconciliation and continued positive relationship?""}"
creative writing,Mystery Thriller: Write a suspenseful story about a detective solving an intriguing case.,"{""Question 1"": ""What is the central mystery or crime that the detective needs to solve?"", ""Question 2"": ""Who is the main detective character, and what are their key traits and background?"", ""Question 3"": ""What motivates the detective to solve this particular case?"", ""Question 4"": ""Who are the primary suspects, and what are their possible motives and alibis?"", ""Question 5"": ""What clues and red herrings will be introduced to keep the reader guessing?"", ""Question 6"": ""What is the setting of the story, and how does it contribute to the suspenseful atmosphere?"", ""Question 7"": ""How will the detective gather information and piece together the clues?"", ""Question 8"": ""What obstacles or challenges will the detective face during the investigation?"", ""Question 9"": ""How will the story build tension and suspense leading up to the resolution?"", ""Question 10"": ""What is the resolution of the mystery, and how will the detective reveal the truth?""}"
email,Performance Evaluation: Write a comprehensive performance evaluation for an employee or team member.,"{""Question 1"": ""What are the key achievements and contributions of the employee or team member during the evaluation period?"", ""Question 2"": ""How has the employee or team member demonstrated growth or improvement in their role?"", ""Question 3"": ""What specific goals or objectives were set for the employee or team member, and how well were they met?"", ""Question 4"": ""What strengths and skills has the employee or team member consistently exhibited?"", ""Question 5"": ""Are there any areas where the employee or team member needs improvement or further development?"", ""Question 6"": ""How has the employee or team member's performance impacted the team or organization as a whole?"", ""Question 7"": ""What feedback have colleagues, clients, or other stakeholders provided about the employee or team member's performance?"", ""Question 8"": ""What specific examples or evidence can you provide to support your evaluation of the employee or team member's performance?"", ""Question 9"": ""What goals or objectives should be set for the employee or team member for the next evaluation period?"", ""Question 10"": ""How can you support the employee or team member in achieving their future goals and improving their performance?""}"
blog post,"Personal Essays: Share personal reflections and introspections on various topics, exploring deeper meanings and connections.","{""Question 1"": ""What personal experience or story do you want to share in this blog post, and why is it significant to you?"", ""Question 2"": ""What deeper meanings or insights have you gained from this experience that you want to explore in your essay?"", ""Question 3"": ""Who is your target audience for this blog post, and what do you want them to take away from your reflections?"", ""Question 4"": ""How can you connect your personal story to broader themes or universal experiences that will resonate with your readers?"", ""Question 5"": ""What emotions or feelings do you want to evoke in your readers through your writing?"", ""Question 6"": ""What specific details, anecdotes, or examples can you include to make your reflections more vivid and engaging?"", ""Question 7"": ""How will you structure your essay to ensure a clear and compelling narrative flow?"", ""Question 8"": ""What lessons or messages do you want to convey through your personal reflections, and how can you articulate them effectively?"", ""Question 9"": ""How can you use descriptive language and sensory details to immerse your readers in your experience?"", ""Question 10"": ""What questions or prompts can you pose to your readers to encourage them to reflect on their own experiences and connections to your story?""}"
blog post,"Cryptocurrency Analysis: Provide insights into cryptocurrencies, explaining economic factors and mechanisms influencing their value.","{""Question 1"": ""What are the key cryptocurrencies that should be analyzed in this blog post, and why are they significant?"", ""Question 2"": ""What economic factors most significantly influence the value of these cryptocurrencies?"", ""Question 3"": ""How do supply and demand dynamics affect the price of cryptocurrencies?"", ""Question 4"": ""What role do government regulations and policies play in the cryptocurrency market?"", ""Question 5"": ""How do technological advancements and innovations impact the value and adoption of cryptocurrencies?"", ""Question 6"": ""Who is the target audience for this blog post, and what level of understanding do they have about cryptocurrencies?"", ""Question 7"": ""What are the common misconceptions about cryptocurrencies that should be addressed in this analysis?"", ""Question 8"": ""How can historical data and trends be used to predict future movements in cryptocurrency values?"", ""Question 9"": ""What are the potential risks and rewards associated with investing in cryptocurrencies?"", ""Question 10"": ""How can readers stay informed about ongoing changes and developments in the cryptocurrency market?""}"
blog post,Productivity Advice: Offer strategies for overcoming distractions and improving focus to achieve long-term goals.,"{""Question 1"": ""What are the most common distractions that people face when trying to focus on their long-term goals?"", ""Question 2"": ""What are some proven strategies for overcoming these distractions?"", ""Question 3"": ""How can readers identify their personal distractions and triggers?"", ""Question 4"": ""What role does environment play in maintaining focus, and how can readers optimize their workspace?"", ""Question 5"": ""What are some time management techniques that can help readers stay on track with their long-term goals?"", ""Question 6"": ""How can readers set realistic and achievable goals to maintain motivation and focus?"", ""Question 7"": ""What are some tools or apps that can assist readers in minimizing distractions and improving productivity?"", ""Question 8"": ""How can readers develop a daily routine that supports sustained focus and productivity?"", ""Question 9"": ""What are the psychological aspects of distraction, and how can readers train their minds to stay focused?"", ""Question 10"": ""Can you share personal anecdotes or case studies that illustrate successful strategies for overcoming distractions and achieving long-term goals?""}"
creative writing,"Epic Fantasy: Write a story about a hero's journey in an imagined world filled with mythical creatures, fantastical realms, and challenges.","{""Question 1"": ""What is the central quest or mission that drives the hero's journey in your epic fantasy story?"", ""Question 2"": ""Who is the hero of your story, and what are their key characteristics, strengths, and weaknesses?"", ""Question 3"": ""What is the imagined world like, including its geography, cultures, and history?"", ""Question 4"": ""What mythical creatures inhabit your world, and what roles do they play in the story?"", ""Question 5"": ""What fantastical realms or locations will the hero visit during their journey, and what makes each place unique?"", ""Question 6"": ""What challenges and obstacles will the hero face, and how will these shape their character and growth?"", ""Question 7"": ""Who are the key allies and mentors that will assist the hero, and what are their motivations and backgrounds?"", ""Question 8"": ""Who or what is the primary antagonist or force of evil in your story, and what are their goals and motivations?"", ""Question 9"": ""How does the hero's journey impact the broader world and its inhabitants, and what are the stakes involved?"", ""Question 10"": ""What themes and messages do you want to convey through the hero's journey and the epic fantasy setting?""}"
creative writing,Contemporary Life: Write a story about professional relationships and personal growth in a contemporary work setting.,"{""Question 1"": ""Who is the protagonist, and what is their role in the contemporary work setting?"", ""Question 2"": ""What are the key professional relationships that will be explored in the story?"", ""Question 3"": ""How does the protagonist's work environment influence their personal growth?"", ""Question 4"": ""What specific challenges does the protagonist face in their professional life?"", ""Question 5"": ""How do these professional challenges impact the protagonist's personal life and growth?"", ""Question 6"": ""What are the main conflicts or tensions between the protagonist and their colleagues or superiors?"", ""Question 7"": ""How do the protagonist's personal values and goals align or clash with their professional responsibilities?"", ""Question 8"": ""What pivotal moments or events will drive the protagonist's development and relationships in the story?"", ""Question 9"": ""How do secondary characters contribute to the protagonist's journey of personal growth?"", ""Question 10"": ""What is the ultimate resolution or outcome for the protagonist in terms of their professional relationships and personal growth?""}"
