document_type,intent,bullet_points
blog post,"Tech Review: Analyze the pros and cons of a new gadget or software, offering insights for potential buyers.","{""Question 1"": ""What are the key features and specifications of the new gadget or software that should be highlighted?"", ""Question 2"": ""Who is the target audience for this tech review, and what are their primary concerns or interests?"", ""Question 3"": ""What are the main advantages of this gadget or software compared to its competitors?"", ""Question 4"": ""What are the potential drawbacks or limitations of this gadget or software that buyers should be aware of?"", ""Question 5"": ""How does the price of the gadget or software compare to similar products on the market?"", ""Question 6"": ""What are the real-world applications or use cases for this gadget or software?"", ""Question 7"": ""What kind of user experience can buyers expect from this gadget or software in terms of ease of use, performance, and reliability?"", ""Question 8"": ""Are there any notable reviews or testimonials from other users or experts that can be referenced?"", ""Question 9"": ""What are the long-term considerations for buyers, such as updates, customer support, and warranty?"", ""Question 10"": ""What is the overall recommendation for potential buyers, and who would benefit most from this gadget or software?""}"
blog post,"Marketing Strategies: Discuss various tools and strategies to improve marketing efforts, focusing on enhancing engagement and conversions.","{""Question 1"": ""What are the primary goals you want to achieve with this blog post on marketing strategies?"", ""Question 2"": ""Who is the target audience for this blog post, and what are their key characteristics and needs?"", ""Question 3"": ""What are the main marketing tools and strategies you plan to discuss, and why are they relevant to your audience?"", ""Question 4"": ""How can you structure the blog post to ensure it is engaging and easy to follow for your readers?"", ""Question 5"": ""What real-life examples or case studies can you include to illustrate the effectiveness of the marketing strategies you are discussing?"", ""Question 6"": ""What are the common challenges your audience faces in marketing, and how can the strategies you discuss help overcome these challenges?"", ""Question 7"": ""How can you incorporate data or statistics to support the effectiveness of the marketing tools and strategies you are recommending?"", ""Question 8"": ""What actionable tips or steps can you provide to help your readers implement the marketing strategies you discuss?"", ""Question 9"": ""How can you optimize the blog post for search engines to increase its visibility and reach a wider audience?"", ""Question 10"": ""What call-to-action (CTA) will you include to encourage readers to engage further with your content or services?""}"
blog post,"Health and Fitness Advice: Share practical tips and strategies for improving physical health, fitness, and overall well-being.","{""Question 1"": ""What are the main health and fitness topics you want to cover in this blog post?"", ""Question 2"": ""Who is your target audience, and what are their primary health and fitness concerns?"", ""Question 3"": ""What practical tips and strategies can you offer that are backed by credible sources or personal experience?"", ""Question 4"": ""How can you structure the blog post to make it easy for readers to follow and understand your advice?"", ""Question 5"": ""What common misconceptions about health and fitness can you address and clarify for your readers?"", ""Question 6"": ""How can you incorporate real-life examples or success stories to illustrate your points?"", ""Question 7"": ""What actionable steps can readers take immediately after reading your blog post to improve their health and fitness?"", ""Question 8"": ""How can you ensure that your advice is inclusive and applicable to a diverse audience with varying fitness levels and goals?"", ""Question 9"": ""What tone and style will you use to engage and motivate your readers effectively?"", ""Question 10"": ""How will you conclude your blog post to leave a lasting impression and encourage readers to take action or seek further information?""}"
email,"Event Invitation: Invite guests to a special event, providing details and generating excitement.","{""Question 1"": ""What is the main purpose of the event and why is it important for the guests to attend?"", ""Question 2"": ""Who is the target audience for this event and what are their interests or needs?"", ""Question 3"": ""What are the key details of the event (date, time, location) that need to be clearly communicated?"", ""Question 4"": ""What specific information about the event should be highlighted to generate excitement and interest?"", ""Question 5"": ""How can you personalize the invitation to make each recipient feel valued and special?"", ""Question 6"": ""What is the desired tone and style of the email to match the nature of the event?"", ""Question 7"": ""What call-to-action should be included to encourage guests to RSVP or take the next step?"", ""Question 8"": ""Are there any special instructions or additional information (e.g., dress code, parking) that need to be included?"", ""Question 9"": ""How can you convey a sense of urgency or importance to prompt a timely response from the guests?"", ""Question 10"": ""What follow-up information or contact details should be provided in case guests have questions or need further assistance?""}"
blog post,"Book Review: Analyze a book's themes, writing style, and impact, sharing your personal response and recommendations.","{""Question 1"": ""What are the main themes of the book, and how are they developed throughout the story?"", ""Question 2"": ""How would you describe the author's writing style, and how does it contribute to the overall impact of the book?"", ""Question 3"": ""What are the key plot points and how do they drive the narrative forward?"", ""Question 4"": ""Who are the main characters, and how do their personalities and actions influence the story?"", ""Question 5"": ""What is your personal response to the book, and how did it affect you emotionally or intellectually?"", ""Question 6"": ""What are the strengths and weaknesses of the book, and how do they affect your overall impression?"", ""Question 7"": ""How does the book compare to other works by the same author or within the same genre?"", ""Question 8"": ""What specific examples from the book can you use to support your analysis of its themes and writing style?"", ""Question 9"": ""Who is the intended audience for this book, and how well does it meet their expectations?"", ""Question 10"": ""Would you recommend this book to others, and if so, what type of reader would most enjoy it?""}"
creative writing,Young Adult Fantasy: Write a story about a teenager discovering their extraordinary abilities in a world where magic exists.,"{""Question 1"": ""What is the main character's background, personality, and initial situation before discovering their abilities?"", ""Question 2"": ""What kind of magical abilities does the teenager discover, and how do they manifest?"", ""Question 3"": ""What is the setting of the story, including the world where magic exists? Describe its rules, geography, and societal structure."", ""Question 4"": ""Who are the key supporting characters, and what roles do they play in the protagonist's journey?"", ""Question 5"": ""What is the central conflict or challenge that the protagonist faces after discovering their abilities?"", ""Question 6"": ""How does the protagonist's discovery of their abilities affect their relationships with friends, family, and others in their world?"", ""Question 7"": ""What are the protagonist's goals and motivations throughout the story?"", ""Question 8"": ""What obstacles and antagonists does the protagonist encounter, and how do they impact the story's progression?"", ""Question 9"": ""How does the protagonist grow and change as a result of their experiences and challenges?"", ""Question 10"": ""What is the intended message or theme of the story, and how do you want the young adult audience to feel or think after reading it?""}"
creative writing,"Historical Fiction: Write a story set in a specific time period of the past, where historical events and social conditions shape a character's personal journey.","{""Question 1"": ""What specific time period and location will your story be set in, and what are the key historical events of that era?"", ""Question 2"": ""Who is your main character, and how do their personal background and experiences reflect the social conditions of the time?"", ""Question 3"": ""What historical events will directly impact your character's personal journey, and how will they respond to these events?"", ""Question 4"": ""What are the primary social, political, and cultural issues of the time period, and how do they influence the world your character lives in?"", ""Question 5"": ""How will you incorporate historical details and settings to create an authentic atmosphere for your story?"", ""Question 6"": ""What conflicts, both internal and external, will your character face as a result of the historical context?"", ""Question 7"": ""How will your character's personal journey intersect with real historical figures or events?"", ""Question 8"": ""What research will you need to conduct to ensure historical accuracy in your story?"", ""Question 9"": ""Who is your target audience, and what do you want them to take away from your story about this historical period?"", ""Question 10"": ""How will you balance historical accuracy with creative storytelling to engage your readers?""}"
blog post,"Cultural Exploration: Dive into the traditions and customs of a culture different from your own, promoting understanding and appreciation.","{""Question 1"": ""What specific culture will you be exploring in your blog post, and why did you choose this culture?"", ""Question 2"": ""What are the key traditions and customs of this culture that you want to highlight?"", ""Question 3"": ""How can you provide historical context to help readers understand the origins of these traditions and customs?"", ""Question 4"": ""What personal experiences or anecdotes can you share to make the cultural exploration more relatable and engaging for your readers?"", ""Question 5"": ""Who is your target audience, and what prior knowledge might they have about this culture?"", ""Question 6"": ""What are some common misconceptions or stereotypes about this culture that you can address and clarify in your post?"", ""Question 7"": ""How can you structure your blog post to maintain a logical flow and keep readers engaged from start to finish?"", ""Question 8"": ""What sources or references will you use to ensure the accuracy and credibility of the information you present?"", ""Question 9"": ""How can you highlight the importance of cultural understanding and appreciation in your conclusion?"", ""Question 10"": ""What call-to-action or reflection questions can you include to encourage readers to further explore and appreciate this culture?""}"
email,Thank You Note: Write a heartfelt letter thanking someone for their support or kindness during a challenging time.,"{""Question 1"": ""What specific actions or gestures did the person take that you are grateful for?"", ""Question 2"": ""How did their support or kindness impact you during the challenging time?"", ""Question 3"": ""Can you recall a particular moment or instance that stood out to you as especially meaningful?"", ""Question 4"": ""What emotions did you feel when you received their support or kindness?"", ""Question 5"": ""How has their support influenced your current situation or outlook?"", ""Question 6"": ""What personal qualities of the person do you admire and appreciate?"", ""Question 7"": ""How can you express your gratitude in a way that feels genuine and heartfelt?"", ""Question 8"": ""What future actions or plans do you have that were made possible by their support?"", ""Question 9"": ""Is there a specific way you would like to stay in touch or continue to show your appreciation?"", ""Question 10"": ""How can you convey the depth of your gratitude in a concise and clear manner?""}"
blog post,"Biography: Write detailed accounts of individuals' lives, achievements, and contributions, highlighting their impact on society or their field.","{""Question 1"": ""Who is the individual you are writing about, and what are the key phases of their life that you want to highlight?"", ""Question 2"": ""What are the most significant achievements and contributions of this individual, and how have they impacted their field or society?"", ""Question 3"": ""What challenges or obstacles did this person face, and how did they overcome them?"", ""Question 4"": ""What are some lesser-known facts or anecdotes about this individual that can add depth to their biography?"", ""Question 5"": ""Who is your target audience for this blog post, and what aspects of the individual's life will resonate most with them?"", ""Question 6"": ""What sources of information will you use to ensure the accuracy and richness of the biography?"", ""Question 7"": ""How will you structure the blog post to maintain a logical flow and keep the reader engaged from start to finish?"", ""Question 8"": ""What quotes or testimonials from others can you include to provide additional perspectives on the individual's impact?"", ""Question 9"": ""How can you highlight the individual's legacy and the lasting effects of their work or actions?"", ""Question 10"": ""What is the main message or takeaway you want your readers to have after reading the biography?""}"
blog post,"Place Reflections: Write about a specific short experience at a particular place, such as visiting a unique restaurant, museum, park, or local event.","{""Question 1"": ""What was the specific place you visited, and what makes it unique or noteworthy?"", ""Question 2"": ""What were your initial expectations before visiting this place, and how did they compare to your actual experience?"", ""Question 3"": ""Can you describe the atmosphere and ambiance of the place in detail?"", ""Question 4"": ""What were the most memorable moments or highlights of your visit?"", ""Question 5"": ""How did the place engage your senses (sight, sound, smell, taste, touch)?"", ""Question 6"": ""Who were the people you encountered during your visit, and how did they contribute to your experience?"", ""Question 7"": ""What emotions or thoughts did the place evoke in you, and why?"", ""Question 8"": ""How does this place compare to similar places you have visited in the past?"", ""Question 9"": ""What practical information or tips would you offer to someone planning to visit this place?"", ""Question 10"": ""What lasting impact did this visit have on you, and how might it influence your future choices or recommendations?""}"
blog post,"Comparative Reviews: Compare multiple products, services, or activities to help readers make informed decisions.","{""Question 1"": ""What are the key products, services, or activities you will be comparing in this blog post?"", ""Question 2"": ""What criteria will you use to evaluate and compare these products, services, or activities?"", ""Question 3"": ""Who is your target audience, and what are their primary concerns or interests regarding these products, services, or activities?"", ""Question 4"": ""What are the main features, benefits, and drawbacks of each product, service, or activity you are comparing?"", ""Question 5"": ""How do the prices of the products, services, or activities compare, and what value do they offer for their cost?"", ""Question 6"": ""What are the unique selling points or standout features of each product, service, or activity?"", ""Question 7"": ""What are the common use cases or scenarios in which each product, service, or activity excels or falls short?"", ""Question 8"": ""What are the sources of information or data you will use to support your comparisons and conclusions?"", ""Question 9"": ""How will you structure your blog post to ensure it is clear, logical, and easy for readers to follow?"", ""Question 10"": ""What is the ultimate recommendation or conclusion you want to provide to your readers based on your comparisons?""}"
creative writing,Parody Retelling: Write a humorous and creative reinterpretation of a classic story or historical event in a modern or unexpected context.,"{""Question 1"": ""Which classic story or historical event will you be retelling, and what are the key elements of the original that you want to highlight or satirize?"", ""Question 2"": ""What modern or unexpected context will you place your retelling in, and how will this new setting enhance the humor and creativity of your parody?"", ""Question 3"": ""Who is your target audience, and what kind of humor or references will resonate most with them?"", ""Question 4"": ""What are the main characters in the original story or event, and how will you reinterpret them in a humorous and modern way?"", ""Question 5"": ""What specific scenes or moments from the original story or event will you parody, and how will you twist them to fit your new context?"", ""Question 6"": ""How will you balance staying true to the original story or event while adding your own creative and humorous spin?"", ""Question 7"": ""What tone and style of humor will you use (e.g., satire, slapstick, irony), and how will it contribute to the overall parody?"", ""Question 8"": ""What modern-day issues, trends, or cultural references can you incorporate to make your retelling relevant and engaging?"", ""Question 9"": ""How will you structure your retelling to ensure it has a clear beginning, middle, and end while maintaining the comedic elements?"", ""Question 10"": ""What message or commentary, if any, do you want to convey through your parody, and how will you weave this into the narrative?""}"
creative writing,Alternate Reality: Write a story set in a world where fundamental aspects of our reality are different.,"{""Question 1"": ""What are the fundamental aspects of reality that are different in your alternate world, and how do they impact daily life?"", ""Question 2"": ""What is the setting of your story, and how does it reflect the changes in this alternate reality?"", ""Question 3"": ""Who are the main characters in your story, and how are they affected by the altered aspects of reality?"", ""Question 4"": ""What is the central conflict or problem in your story, and how is it influenced by the differences in this alternate world?"", ""Question 5"": ""How do the societal structures and norms differ in your alternate reality compared to our own?"", ""Question 6"": ""What unique challenges or opportunities do your characters face because of the altered reality?"", ""Question 7"": ""How do the changes in reality affect technology, science, and innovation in your story?"", ""Question 8"": ""What themes do you want to explore through the differences in this alternate reality?"", ""Question 9"": ""How do the characters' goals and motivations reflect the unique aspects of the alternate world?"", ""Question 10"": ""What is the tone and mood of your story, and how do they align with the alternate reality you have created?""}"
blog post,"Opinion Piece: Discuss your perspective on social, political or environmental issues, advocating for change and encouraging thoughtful dialogue.","{""Question 1"": ""What specific social, political, or environmental issue do you want to address in your blog post?"", ""Question 2"": ""What is your main argument or perspective on this issue?"", ""Question 3"": ""Who is your target audience, and what are their likely views or knowledge about this issue?"", ""Question 4"": ""What background information or context will your audience need to understand your perspective?"", ""Question 5"": ""What evidence, examples, or data can you provide to support your argument?"", ""Question 6"": ""What counterarguments or opposing views might your audience have, and how will you address them?"", ""Question 7"": ""What tone and style will be most effective in engaging your audience and conveying your message?"", ""Question 8"": ""What specific change or action are you advocating for, and why is it important?"", ""Question 9"": ""How can you encourage thoughtful dialogue and engagement from your readers on this issue?"", ""Question 10"": ""What concluding thoughts or calls to action will leave a lasting impact on your audience?""}"
email,"Negotiation Email: Write an email to negotiate terms of a contract, agreement, or proposal.","{""Question 1"": ""What are the key terms and conditions you want to negotiate in the contract or agreement?"", ""Question 2"": ""What is the primary objective you want to achieve through this negotiation email?"", ""Question 3"": ""Who is the recipient of this email, and what is their role in the negotiation process?"", ""Question 4"": ""What background information or context does the recipient need to understand your position?"", ""Question 5"": ""What are your non-negotiable terms, and what areas are you willing to compromise on?"", ""Question 6"": ""How can you clearly and concisely articulate your proposed changes or terms?"", ""Question 7"": ""What supporting evidence or rationale can you provide to justify your proposed terms?"", ""Question 8"": ""What tone and language should you use to maintain a professional and collaborative atmosphere?"", ""Question 9"": ""What potential objections or counterarguments might the recipient have, and how can you address them in your email?"", ""Question 10"": ""What is your desired timeline for receiving a response or reaching an agreement, and how will you communicate this in the email?""}"
blog post,"Relationship Advice: Share personal insights and experiences about relationships, emphasizing growth and understanding.","{""Question 1"": ""What personal experiences have significantly shaped your understanding of relationships?"", ""Question 2"": ""What key lessons have you learned from your own relationships that you believe would benefit your readers?"", ""Question 3"": ""How can you illustrate the importance of growth and understanding in relationships through your own stories?"", ""Question 4"": ""Who is your target audience, and what specific relationship challenges might they be facing?"", ""Question 5"": ""What tone and style will best resonate with your audience while discussing personal insights and experiences?"", ""Question 6"": ""What common relationship myths or misconceptions can you address and debunk in your blog post?"", ""Question 7"": ""How can you structure your blog post to keep readers engaged and provide clear, actionable advice?"", ""Question 8"": ""What examples or anecdotes can you share to make your advice more relatable and impactful?"", ""Question 9"": ""How can you balance sharing personal stories with offering general advice that applies to a wide audience?"", ""Question 10"": ""What key takeaways or actionable steps do you want your readers to remember and implement after reading your post?""}"
blog post,"How-To Guide: Provide step-by-step tutorials on mastering a skill, hobby, or recipe, including personal tips and the stories behind them.","{""Question 1"": ""What specific skill, hobby, or recipe will you be teaching in this how-to guide?"", ""Question 2"": ""Who is your target audience, and what is their current level of expertise with this skill, hobby, or recipe?"", ""Question 3"": ""What are the key steps involved in mastering this skill, hobby, or recipe, and how can you break them down into clear, manageable parts?"", ""Question 4"": ""What personal tips or tricks have you discovered that can help your audience succeed more easily or quickly?"", ""Question 5"": ""What common mistakes or challenges might your audience encounter, and how can they be avoided or overcome?"", ""Question 6"": ""What personal stories or experiences can you share to make the guide more engaging and relatable?"", ""Question 7"": ""What background information or context does your audience need to fully understand and appreciate the skill, hobby, or recipe?"", ""Question 8"": ""How can you structure your blog post to ensure a logical flow from introduction to conclusion?"", ""Question 9"": ""What additional resources or references can you provide to help your audience further their learning or practice?"", ""Question 10"": ""How will you encourage your audience to take action and apply what they have learned from your guide?""}"
blog post,"Creative Motivation: Encourage creators to embrace authenticity and consistent output, emphasizing the value of publishing frequently.","{""Question 1"": ""What personal experiences or stories can you share that highlight the importance of embracing authenticity in creative work?"", ""Question 2"": ""How can you define and explain the concept of 'authenticity' in the context of creative output?"", ""Question 3"": ""What are some common fears or obstacles creators face when trying to be authentic, and how can they overcome them?"", ""Question 4"": ""Why is it important for creators to publish frequently, and what benefits can they expect from consistent output?"", ""Question 5"": ""What practical tips or strategies can you offer to help creators maintain a regular publishing schedule?"", ""Question 6"": ""How can you address the potential challenges of maintaining quality while publishing frequently?"", ""Question 7"": ""What examples of successful creators who embrace authenticity and consistent output can you include to inspire your readers?"", ""Question 8"": ""How can you encourage readers to find their unique voice and style in their creative work?"", ""Question 9"": ""What role does audience feedback play in helping creators stay authentic and motivated to publish regularly?"", ""Question 10"": ""How can you create a compelling call-to-action that motivates readers to start embracing authenticity and consistent output in their own creative projects?""}"
email,"Advocacy and Appeals: Write emails to government representatives or officials seeking intervention, support, or changes regarding regulatory or policy issues affecting you or your business.","{""Question 1"": ""What specific regulatory or policy issue are you addressing in your email?"", ""Question 2"": ""Who is the government representative or official you are writing to, and what is their role in relation to the issue?"", ""Question 3"": ""What is the main objective of your email? Are you seeking intervention, support, or a change in policy?"", ""Question 4"": ""What background information or context does the recipient need to understand the issue fully?"", ""Question 5"": ""How does the current regulatory or policy issue affect you or your business specifically?"", ""Question 6"": ""What evidence or data can you provide to support your claims and illustrate the impact of the issue?"", ""Question 7"": ""What specific actions or changes are you requesting from the government representative or official?"", ""Question 8"": ""How can you demonstrate the broader implications of the issue for the community or industry, beyond your personal or business impact?"", ""Question 9"": ""What tone and language will be most effective in persuading the recipient to take your request seriously?"", ""Question 10"": ""How will you conclude your email to ensure a clear call to action and encourage a timely response?""}"
blog post,"Travel Guide: Share details of your long trip or travel, and provide advice for future travelers.","{""Question 1"": ""What was the primary destination of your long trip, and what makes it unique or interesting?"", ""Question 2"": ""Can you describe the key highlights and experiences of your journey that future travelers should not miss?"", ""Question 3"": ""What were the most challenging aspects of your trip, and how did you overcome them?"", ""Question 4"": ""What essential travel tips and advice would you give to someone planning a similar trip?"", ""Question 5"": ""How did you prepare for your trip, and what resources or tools were most helpful?"", ""Question 6"": ""What cultural insights or local customs did you learn about during your travels that would be useful for others to know?"", ""Question 7"": ""Can you recommend any specific accommodations, restaurants, or attractions that stood out during your trip?"", ""Question 8"": ""What was your budget for the trip, and how did you manage your expenses effectively?"", ""Question 9"": ""How did your trip impact you personally, and what lasting memories or lessons did you take away from it?"", ""Question 10"": ""What are some common mistakes or pitfalls that travelers should avoid when visiting the same destination?""}"
blog post,"Design Analysis: Critique and discuss design elements and principles, providing professional insights and real-world applications.","{""Question 1"": ""What specific design elements and principles will you focus on in this blog post?"", ""Question 2"": ""Who is your target audience, and what level of design knowledge do they possess?"", ""Question 3"": ""What is the main purpose of your critique and discussion on these design elements?"", ""Question 4"": ""Can you provide real-world examples where these design principles have been effectively applied?"", ""Question 5"": ""What are the common mistakes or misconceptions related to these design elements that you want to address?"", ""Question 6"": ""How can you structure your blog post to ensure it is engaging and informative for your readers?"", ""Question 7"": ""What professional insights or unique perspectives can you offer on these design principles?"", ""Question 8"": ""How will you support your analysis with evidence or references to authoritative sources?"", ""Question 9"": ""What actionable advice or takeaways do you want your readers to gain from your blog post?"", ""Question 10"": ""How will you conclude your blog post to reinforce the key points and encourage further discussion or exploration?""}"
email,Customer Complaint: Write a letter to a company addressing a service issue and requesting resolution.,"{""Question 1"": ""What is the specific service issue you experienced, and how did it affect you?"", ""Question 2"": ""When did the service issue occur, and can you provide any relevant dates or times?"", ""Question 3"": ""Who was involved in the service issue, and can you provide any names or roles of the staff members?"", ""Question 4"": ""What steps have you already taken to resolve the issue, and what was the outcome of those efforts?"", ""Question 5"": ""What specific resolution are you seeking from the company to address the service issue?"", ""Question 6"": ""How has this service issue impacted your perception of the company and its services?"", ""Question 7"": ""What supporting evidence or documentation can you provide to help illustrate the service issue?"", ""Question 8"": ""How would you like the company to communicate with you regarding the resolution of this issue?"", ""Question 9"": ""What is your preferred timeline for receiving a response or resolution from the company?"", ""Question 10"": ""How can the company improve its services to prevent similar issues from occurring in the future?""}"
blog post,"Game Reviews: Evaluate video games' storytelling, mechanics, and impact, sharing personal experiences and perspectives.","{""Question 1"": ""What is the main storyline of the video game, and how does it engage the player?"", ""Question 2"": ""How do the game mechanics enhance or detract from the overall gaming experience?"", ""Question 3"": ""What are the standout features of the game's design and graphics?"", ""Question 4"": ""How does the game compare to others in its genre in terms of storytelling and mechanics?"", ""Question 5"": ""What personal experiences did you have while playing the game that influenced your perspective?"", ""Question 6"": ""Who is the target audience for this game, and how well does it cater to their preferences?"", ""Question 7"": ""What impact does the game have on the player, both emotionally and intellectually?"", ""Question 8"": ""What are the strengths and weaknesses of the game's character development?"", ""Question 9"": ""How does the game's soundtrack and audio design contribute to the overall experience?"", ""Question 10"": ""What recommendations would you give to potential players based on your review?""}"
blog post,"Movie/TV Review: Evaluate a film or show's storytelling, performances, and themes, offering your perspective on its strengths and weaknesses.","{""Question 1"": ""What is the central plot or storyline of the film or show, and how effectively is it developed throughout?"", ""Question 2"": ""Who are the main characters, and how well are their roles portrayed by the actors?"", ""Question 3"": ""What themes are explored in the film or show, and how are they conveyed to the audience?"", ""Question 4"": ""How does the direction and cinematography contribute to the overall storytelling?"", ""Question 5"": ""What are the standout moments or scenes in the film or show, and why do they leave a lasting impression?"", ""Question 6"": ""How does the film or show compare to others in the same genre or by the same director?"", ""Question 7"": ""What are the strengths of the film or show, and how do they enhance the viewing experience?"", ""Question 8"": ""What are the weaknesses or areas where the film or show falls short, and how do they impact the overall quality?"", ""Question 9"": ""Who is the target audience for this film or show, and how well does it cater to their expectations and preferences?"", ""Question 10"": ""What is your overall impression of the film or show, and would you recommend it to others? Why or why not?""}"
email,"Professional Declinations: Write emails explaining the reasons for declining requests or proposals, addressing potential concerns, and outlining next steps.","{""Question 1"": ""What is the main reason for declining the request or proposal, and how can it be clearly articulated?"", ""Question 2"": ""Who is the primary audience for this email, and what is their relationship to you or your organization?"", ""Question 3"": ""What potential concerns might the recipient have upon receiving this declination, and how can they be addressed empathetically?"", ""Question 4"": ""What are the key points that need to be included to ensure the recipient understands the decision is final?"", ""Question 5"": ""How can you express appreciation for the request or proposal while still being firm in your decision?"", ""Question 6"": ""What alternative solutions or next steps can you suggest to the recipient to help them move forward?"", ""Question 7"": ""How can you maintain a positive and professional tone throughout the email to preserve the relationship?"", ""Question 8"": ""What specific details or context should be included to provide a clear and transparent explanation for the declination?"", ""Question 9"": ""How can you structure the email to ensure it is concise yet comprehensive?"", ""Question 10"": ""What closing remarks can you include to leave the recipient with a positive impression and open the door for future interactions?""}"
creative writing,"Romance Story: Write a story about two people falling in love, exploring themes like connection, heartbreak, or reconciliation.","{""Question 1"": ""Who are the main characters in your romance story, and what are their backgrounds, personalities, and motivations?"", ""Question 2"": ""What is the initial setting of your story, and how does it influence the characters and their interactions?"", ""Question 3"": ""How do the two main characters meet, and what are their first impressions of each other?"", ""Question 4"": ""What obstacles or conflicts do the characters face that challenge their relationship and how do they overcome them?"", ""Question 5"": ""What key moments or turning points in the story significantly impact the characters' relationship development?"", ""Question 6"": ""How do the characters' past experiences with love and heartbreak influence their current relationship?"", ""Question 7"": ""What themes related to connection, heartbreak, or reconciliation do you want to explore, and how will they be woven into the narrative?"", ""Question 8"": ""How do secondary characters contribute to the main characters' journey and the overall story arc?"", ""Question 9"": ""What is the climax of your romance story, and how does it resolve the central conflict between the characters?"", ""Question 10"": ""What is the final resolution of the story, and how have the characters grown or changed by the end?""}"
